,Unnamed: 0,DBA Name,Facility Type,Risk,Address,Zip,Results,Latitude,Longitude
102,131,SUBWAY,Restaurant,Risk 1 (High),8655 S JEFFERY BLVD ,60617.0,Pass,41.73726152889483,-87.57557560680759
931,1193,HOME RUN INN PIZZERIA,Restaurant,Risk 3 (Low),4254 W 31ST ST ,60623.0,Pass,41.83691322539421,-87.73141129560166
1388,1762,DONGPO IMPRESSION,Restaurant,Risk 1 (High),228 W CERMAK RD ,60616.0,Fail,41.85294483663146,-87.6332244476211
1418,1801,PORTAGE BAR AND GRILL,Restaurant,Risk 1 (High),3930 N CICERO AVE ,60641.0,Pass w/ Conditions,41.952518560711454,-87.74743973075441
1509,1903,LA MERCED INC,Grocery Store,Risk 1 (High),4335 W 26TH ST ,60623.0,Fail,41.844032796507406,-87.73243286472002
1593,2011,ROSATI S PIZZA LOOP,Restaurant,Risk 1 (High),176 N WELLS ST ,60606.0,Pass,41.88525273072066,-87.63406351616109
1616,2037,FULL SHILLING,Restaurant,Risk 1 (High),3724-3726 N CLARK ST ,60613.0,Pass,41.94970619451691,-87.65870141348526
1830,2297,THE GREAT AMERICAN BAGEL,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,60666.0,Pass,42.008536400868735,-87.91442843927048
1847,2323,BIG MOE S CELLULAR & FOOD INC,Grocery Store,Risk 2 (Medium),5539-5541 W CHICAGO AVE BLDG ,60551.0,Pass,41.89474726063083,-87.76521770247841
1921,2412,PUBLICAN TAVERN K1,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,60666.0,Pass w/ Conditions,42.008536400868735,-87.91442843927048
2056,2583,I M NUTRITION,Restaurant,Risk 2 (Medium),3117 W 63RD ST ,60629.0,Pass,41.77888584497597,-87.70148916875044
2240,2825,Avalon Park,School,Risk 2 (Medium),8045 S KENWOOD ,60619.0,Pass w/ Conditions,41.748266363065106,-87.59161761394087
2253,2844,YIN DEE RESTAURANT,Restaurant,Risk 1 (High),1824 W ADDISON ST ,60613.0,Pass w/ Conditions,41.947016221544224,-87.67499842775173
2292,2890,CIAO GOURMET T-1,Grocery Store,Risk 3 (Low),11601 W TOUHY AVE ,60666.0,Pass,42.008536400868735,-87.91442843927048
2304,2906,LA ANTIGUA HACIENDA,Restaurant,Risk 1 (High),2249 S PULASKI AVE ,60623.0,Fail,41.8500093737413,-87.72457103561378
2322,2925,KIDSLIFE DAYCARE CENTER INC.,Children s Services Facility,Risk 1 (High),4447-4457 W FULLERTON ,60639.0,Pass,41.92423504098083,-87.73846463841794
2346,2953,CASA CAFE,Restaurant,Risk 1 (High),2025 S WESTERN AVE ,60608.0,Pass w/ Conditions,41.85392356205821,-87.68554179721714
2353,2961,J & J FRUIT MARKET,Grocery Store,Risk 1 (High),2732 W CERMAK RD ,60608.0,Pass,41.852026533809706,-87.69427307952772
2386,3000,ORANGE GARDEN RESTAURANT LLC,Restaurant,Risk 1 (High),1942 W IRVING PARK RD ,60613.0,Pass w/ Conditions,41.95427601966625,-87.6780332991192
